
2026/03/14 (02:35:03) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (02:48:32) | ===> btop++ v.1.4.6
2026/03/14 (02:48:32) | INFO: Logger set to DEBUG
2026/03/14 (02:48:32) | DEBUG: Using locale C
2026/03/14 (02:48:32) | INFO: Running on /dev/pts/0
2026/03/14 (02:48:32) | DEBUG: TTY mode enabled: false
2026/03/14 (02:48:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (02:48:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (02:48:32) | DEBUG: Shared::init() : Initialized.
2026/03/14 (02:48:32) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
2026/03/14 (02:48:46) | INFO: Quitting! Runtime: 00:00:14

2026/03/14 (04:33:41) | ===> btop++ v.1.4.6
2026/03/14 (04:33:41) | INFO: Logger set to DEBUG
2026/03/14 (04:33:41) | DEBUG: Using locale C
2026/03/14 (04:33:41) | INFO: Running on /dev/pts/0
2026/03/14 (04:33:41) | DEBUG: TTY mode enabled: false
2026/03/14 (04:33:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (04:33:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (04:33:41) | DEBUG: Shared::init() : Initialized.
2026/03/14 (04:33:41) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (09:24:06) | ===> btop++ v.1.4.6
2026/03/14 (09:24:06) | INFO: Logger set to DEBUG
2026/03/14 (09:24:06) | DEBUG: Using locale C
2026/03/14 (09:24:06) | INFO: Running on /dev/pts/1
2026/03/14 (09:24:06) | DEBUG: TTY mode enabled: false
2026/03/14 (09:24:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (09:24:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (09:24:06) | DEBUG: Shared::init() : Initialized.
2026/03/14 (09:24:06) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (17:47:24) | ===> btop++ v.1.4.6
2026/03/14 (17:47:24) | INFO: Logger set to DEBUG
2026/03/14 (17:47:24) | DEBUG: Using locale C
2026/03/14 (17:47:24) | INFO: Running on /dev/pts/0
2026/03/14 (17:47:24) | DEBUG: TTY mode enabled: false
2026/03/14 (17:47:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (17:47:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (17:47:24) | DEBUG: Shared::init() : Initialized.
2026/03/14 (17:47:24) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (22:10:13) | ===> btop++ v.1.4.6
2026/03/14 (22:10:13) | INFO: Logger set to DEBUG
2026/03/14 (22:10:13) | DEBUG: Using locale C
2026/03/14 (22:10:13) | INFO: Running on /dev/pts/4
2026/03/14 (22:10:13) | DEBUG: TTY mode enabled: false
